time;Sp;Ipg1;Ipg2;Sc;Icg1;Icg2;N;
0;97.411;11.99;1.208;99.3889;9.97894;1.20579;221.183;
10;62.9678;38.0273;6.05999;89.6817;9.68815;6.96673;213.392;
20;25.0799;63.1872;17.0932;66.5904;9.40825;27.3623;208.721;
30;5.61468;72.9487;26.9928;33.0354;9.13737;60.9414;208.67;
40;1.15398;73.882;31.6478;11.1551;8.87365;85.7383;212.451;
50;0.56033;73.0056;34.555;3.37569;8.61595;98.0064;218.119;
60;0.490872;71.8993;37.3384;1.34015;8.36374;105.168;224.601;
70;0.477196;70.7578;40.2579;0.879863;8.11678;111.072;231.562;
80;0.469685;69.6013;43.3462;0.78172;7.87492;116.851;238.925;
90;0.463208;68.4321;46.6109;0.757772;7.63802;122.774;246.676;
100;0.457175;67.2507;50.0569;0.747706;7.40595;128.899;254.817;
110;0.451509;66.0574;53.6879;0.740206;7.1786;135.235;263.351;
120;0.446203;64.8526;57.5073;0.733359;6.95587;141.782;272.277;
130;0.441255;63.6366;61.5176;0.72686;6.73764;148.536;281.596;
140;0.436663;62.4101;65.7204;0.72065;6.52384;155.493;291.304;
150;0.432422;61.1736;70.1166;0.714705;6.31439;162.647;301.398;
160;0.428525;59.9277;74.7059;0.709007;6.10922;169.991;311.871;
170;0.424963;58.6732;79.4872;0.70354;5.90825;177.516;322.713;
180;0.421726;57.4108;84.4579;0.698291;5.71144;185.213;333.913;
190;0.418802;56.1414;89.6147;0.693244;5.51873;193.069;345.456;
200;0.416177;54.8659;94.9526;0.68839;5.33009;201.074;357.327;
210;0.413838;53.5854;100.466;0.683718;5.14549;209.212;369.506;
220;0.41177;52.301;106.146;0.679219;4.96488;217.469;381.972;
230;0.409958;51.0139;111.986;0.674883;4.78827;225.828;394.701;
240;0.408386;49.7253;117.975;0.670703;4.61561;234.272;407.668;
250;0.407039;48.4366;124.103;0.666673;4.44692;242.784;420.843;
260;0.405901;47.149;130.356;0.662785;4.28216;251.343;434.199;
270;0.404957;45.8641;136.722;0.659035;4.12135;259.931;447.703;
280;0.404192;44.5833;143.187;0.655416;3.96448;268.527;461.322;
290;0.403592;43.3081;149.736;0.651925;3.81154;277.112;475.023;
300;0.403142;42.0401;156.353;0.648556;3.66254;285.664;488.771;
310;0.40283;40.7807;163.022;0.645305;3.51746;294.165;502.532;
320;0.402641;39.5315;169.726;0.642168;3.37632;302.592;516.271;
330;0.402565;38.294;176.449;0.639141;3.23911;310.929;529.953;
340;0.40259;37.0698;183.174;0.636221;3.10581;319.155;543.543;
350;0.402705;35.8602;189.885;0.633404;2.97642;327.253;557.01;
360;0.402901;34.6667;196.565;0.630687;2.85093;335.206;570.322;
370;0.403167;33.4908;203.199;0.628066;2.72932;342.997;583.447;
380;0.403497;32.3335;209.771;0.625538;2.61156;350.614;596.359;
390;0.403881;31.1962;216.268;0.623101;2.49763;358.042;609.03;
400;0.404313;30.0801;222.675;0.62075;2.3875;365.27;621.437;
410;0.404787;28.986;228.98;0.618484;2.28113;372.287;633.557;
420;0.405296;27.915;235.173;0.616298;2.17848;379.084;645.372;
430;0.405835;26.868;241.241;0.614191;2.0795;385.655;656.863;
440;0.4064;25.8455;247.178;0.612158;1.98413;391.992;668.018;
450;0.406986;24.8484;252.973;0.610198;1.89233;398.093;678.823;
460;0.407589;23.877;258.621;0.608307;1.80402;403.953;689.27;
470;0.408208;22.9319;264.115;0.606482;1.71914;409.57;699.351;
480;0.408837;22.0133;269.452;0.604721;1.63761;414.945;709.062;
490;0.409476;21.1215;274.627;0.603021;1.55937;420.078;718.399;
500;0.410121;20.2566;279.639;0.601379;1.48434;424.971;727.362;
510;0.410771;19.4186;284.485;0.599792;1.41243;429.626;735.953;
520;0.411425;18.6075;289.166;0.598259;1.34356;434.047;744.174;
530;0.412081;17.8232;293.682;0.596777;1.27765;438.238;752.029;
540;0.412737;17.0654;298.033;0.595342;1.2146;442.204;759.525;
550;0.413394;16.3339;302.222;0.593954;1.15434;445.951;766.668;
560;0.41405;15.6283;306.25;0.592609;1.09676;449.484;773.466;
570;0.414704;14.9483;310.122;0.591305;1.04178;452.811;779.929;
580;0.415356;14.2935;313.84;0.59004;0.98932;455.938;786.066;
590;0.416007;13.6632;317.407;0.588813;0.939278;458.872;791.887;
600;0.416654;13.0571;320.829;0.587621;0.891568;461.621;797.403;
610;0.417299;12.4746;324.11;0.586463;0.846104;464.191;802.625;
620;0.417942;11.9151;327.254;0.585335;0.802797;466.589;807.564;
630;0.418581;11.378;330.265;0.584238;0.761564;468.825;812.232;
640;0.419217;10.8626;333.15;0.583169;0.72232;470.903;816.64;
650;0.419851;10.3684;335.912;0.582126;0.684983;472.833;820.8;
660;0.420482;9.89475;338.557;0.581108;0.649473;474.62;824.723;
670;0.42111;9.44096;341.089;0.580114;0.615712;476.272;828.419;
680;0.421736;9.00639;343.514;0.579143;0.583623;477.796;831.901;
690;0.422359;8.5904;345.837;0.578192;0.553134;479.198;835.179;
700;0.42298;8.19236;348.062;0.577261;0.524171;480.485;838.263;
710;0.423599;7.81162;350.193;0.576348;0.496667;481.662;841.163;
720;0.424216;7.44756;352.236;0.575453;0.470554;482.736;843.89;
730;0.424831;7.09955;354.195;0.574575;0.445768;483.712;846.452;
740;0.425445;6.76699;356.074;0.573712;0.422246;484.596;848.859;
750;0.426057;6.44928;357.878;0.572863;0.399929;485.393;851.119;
760;0.426667;6.14584;359.61;0.572028;0.378759;486.108;853.241;
770;0.427277;5.8561;361.274;0.571206;0.35868;486.745;855.232;
780;0.427885;5.5795;362.873;0.570396;0.33964;487.31;857.101;
790;0.428493;5.31551;364.412;0.569598;0.321588;487.806;858.854;
800;0.4291;5.0636;365.894;0.56881;0.304475;488.238;860.498;
810;0.429706;4.82326;367.322;0.568032;0.288255;488.61;862.041;
820;0.430311;4.59401;368.698;0.567263;0.272882;488.924;863.487;
830;0.430916;4.37536;370.027;0.566503;0.258316;489.185;864.843;
840;0.431521;4.16687;371.31;0.565751;0.244514;489.396;866.115;
850;0.432126;3.96809;372.55;0.565007;0.231438;489.56;867.307;
860;0.43273;3.77858;373.751;0.564271;0.219052;489.679;868.425;
870;0.433334;3.59795;374.913;0.563541;0.20732;489.758;869.473;
880;0.433938;3.4258;376.039;0.562817;0.196208;489.797;870.455;
890;0.434543;3.26174;377.133;0.5621;0.185685;489.799;871.376;
900;0.435147;3.10541;378.194;0.561388;0.175721;489.768;872.239;
910;0.435752;2.95647;379.226;0.560681;0.166285;489.704;873.049;
920;0.436356;2.81457;380.23;0.55998;0.157351;489.61;873.808;
930;0.436961;2.6794;381.207;0.559283;0.148893;489.489;874.52;
940;0.437566;2.55064;382.16;0.55859;0.140886;489.34;875.188;
950;0.438172;2.428;383.09;0.557902;0.133306;489.167;875.815;
960;0.438778;2.3112;383.998;0.557217;0.126131;488.971;876.403;
970;0.439384;2.19997;384.886;0.556536;0.119339;488.753;876.954;
980;0.439991;2.09404;385.754;0.555858;0.112911;488.515;877.472;
990;0.440598;1.99318;386.604;0.555183;0.106827;488.258;877.958;
1000;0.441205;1.89713;387.438;0.554512;0.101069;487.982;878.414;
1010;0.441813;1.80569;388.255;0.553843;0.0956194;487.691;878.842;
1020;0.442421;1.71862;389.057;0.553176;0.0904622;487.383;879.245;
1030;0.44303;1.63573;389.846;0.552513;0.085582;487.061;879.623;
1040;0.443639;1.55681;390.621;0.551851;0.0809638;486.725;879.978;
1050;0.444249;1.48169;391.383;0.551192;0.0765938;486.376;880.313;
1060;0.444859;1.41017;392.134;0.550534;0.0724588;486.015;880.627;
1070;0.44547;1.34209;392.874;0.549879;0.0685461;485.642;880.923;
1080;0.446081;1.27729;393.604;0.549225;0.064844;485.259;881.201;
1090;0.446692;1.2156;394.324;0.548573;0.0613413;484.866;881.463;
1100;0.447304;1.15689;395.035;0.547923;0.0580271;484.464;881.709;
1110;0.447917;1.101;395.738;0.547274;0.0548915;484.053;881.942;
1120;0.44853;1.04781;396.432;0.546627;0.0519249;483.634;882.161;
1130;0.449143;0.997181;397.119;0.54598;0.0491181;483.207;882.367;
1140;0.449757;0.948993;397.799;0.545335;0.0464628;482.773;882.562;
1150;0.450371;0.903131;398.472;0.544691;0.0439506;482.332;882.746;
1160;0.450985;0.859481;399.139;0.544049;0.041574;481.885;882.92;
1170;0.4516;0.817938;399.8;0.543407;0.0393257;481.431;883.084;
1180;0.452215;0.778401;400.456;0.542766;0.0371987;480.973;883.239;
1190;0.452831;0.740773;401.106;0.542126;0.0351865;480.509;883.385;
