time;Sp;Ipg1;Ipg2;Sc;Icg1;Icg2;N;
0;97.811;12.03;1.203;99.7889;10.0189;1.20189;222.054;
10;65.2882;40.3122;6.02217;93.7806;10.1225;6.98729;222.513;
20;25.574;70.708;17.1268;72.2695;10.2267;28.5627;224.468;
30;5.22173;84.6978;26.3319;36.4699;10.3309;65.1439;228.196;
40;1.03137;88.8971;29.5928;12.3498;10.4343;90.8341;233.14;
50;0.564074;91.2768;31.0738;3.79622;10.5367;101.367;238.615;
60;0.522363;93.4851;32.3686;1.52906;10.6377;105.755;244.298;
70;0.519672;95.7004;33.6789;0.990166;10.7374;108.464;250.091;
80;0.521037;97.9386;35.0222;0.866596;10.8355;110.783;255.967;
90;0.522964;100.201;36.3999;0.836677;10.9319;113.028;261.92;
100;0.524977;102.486;37.8123;0.826929;11.0267;115.269;267.945;
110;0.526993;104.793;39.2593;0.821363;11.1197;117.521;274.041;
120;0.528993;107.121;40.7409;0.816653;11.2108;119.786;280.205;
130;0.530976;109.468;42.257;0.812134;11.2999;122.065;286.433;
140;0.532941;111.834;43.8075;0.807682;11.3869;124.355;292.723;
150;0.534887;114.216;45.392;0.803273;11.4718;126.655;299.073;
160;0.536813;116.613;47.0105;0.798904;11.5545;128.965;305.479;
170;0.538721;119.025;48.6624;0.794573;11.6348;131.283;311.938;
180;0.54061;121.448;50.3476;0.790282;11.7128;133.607;318.446;
190;0.542479;123.882;52.0655;0.786029;11.7882;135.937;325.001;
200;0.544328;126.325;53.8158;0.781816;11.8611;138.27;331.599;
210;0.546158;128.776;55.5978;0.777641;11.9314;140.607;338.235;
220;0.547968;131.232;57.411;0.773505;11.9991;142.944;344.907;
230;0.549758;133.692;59.2547;0.769408;12.0639;145.281;351.611;
240;0.551529;136.155;61.1285;0.76535;12.126;147.616;358.342;
250;0.553279;138.618;63.0314;0.761332;12.1851;149.948;365.096;
260;0.55501;141.079;64.9627;0.757352;12.2413;152.275;371.871;
270;0.55672;143.538;66.9217;0.753411;12.2946;154.597;378.661;
280;0.55841;145.991;68.9075;0.749509;12.3448;156.91;385.462;
290;0.56008;148.438;70.9191;0.745645;12.3919;159.215;392.27;
300;0.561731;150.876;72.9557;0.741821;12.4359;161.51;399.082;
310;0.56336;153.305;75.0164;0.738035;12.4768;163.793;405.892;
320;0.56497;155.721;77.1;0.734288;12.5144;166.063;412.697;
330;0.56656;158.123;79.2055;0.730579;12.5489;168.318;419.493;
340;0.56813;160.51;81.332;0.726908;12.5801;170.558;426.275;
350;0.56968;162.879;83.4782;0.723276;12.6081;172.78;433.039;
360;0.571211;165.23;85.6432;0.719681;12.6328;174.984;439.781;
370;0.572721;167.56;87.8257;0.716124;12.6543;177.168;446.497;
380;0.574212;169.868;90.0247;0.712605;12.6725;179.331;453.183;
390;0.575684;172.152;92.2389;0.709124;12.6874;181.472;459.836;
400;0.577136;174.411;94.4672;0.705679;12.699;183.59;466.451;
410;0.578569;176.644;96.7083;0.702272;12.7074;185.684;473.024;
420;0.579983;178.848;98.9612;0.698901;12.7126;187.752;479.553;
430;0.581377;181.022;101.225;0.695567;12.7145;189.794;486.032;
440;0.582754;183.166;103.497;0.692268;12.7133;191.808;492.46;
450;0.584111;185.278;105.778;0.689006;12.7089;193.794;498.833;
460;0.58545;187.356;108.066;0.68578;12.7013;195.751;505.146;
470;0.586771;189.401;110.36;0.682589;12.6906;197.678;511.399;
480;0.588074;191.409;112.658;0.679433;12.6769;199.574;517.586;
490;0.589359;193.382;114.96;0.676311;12.6601;201.439;523.706;
500;0.590627;195.317;117.264;0.673224;12.6404;203.272;529.757;
510;0.591877;197.214;119.569;0.670171;12.6178;205.072;535.734;
520;0.59311;199.072;121.875;0.667152;12.5922;206.838;541.637;
530;0.594326;200.89;124.18;0.664166;12.5639;208.571;547.463;
540;0.595526;202.668;126.482;0.661213;12.5328;210.269;553.209;
550;0.596709;204.405;128.782;0.658292;12.499;211.933;558.875;
560;0.597876;206.101;131.078;0.655404;12.4625;213.562;564.458;
570;0.599027;207.756;133.369;0.652547;12.4235;215.156;569.956;
580;0.600163;209.368;135.655;0.649722;12.3819;216.714;575.368;
590;0.601283;210.937;137.933;0.646928;12.3379;218.236;580.693;
600;0.602388;212.464;140.205;0.644165;12.2916;219.723;585.93;
610;0.603478;213.948;142.468;0.641432;12.2429;221.174;591.077;
620;0.604554;215.389;144.721;0.638728;12.192;222.588;596.134;
630;0.605615;216.787;146.966;0.636054;12.1389;223.967;601.101;
640;0.606662;218.142;149.199;0.63341;12.0838;225.31;605.975;
650;0.607696;219.455;151.421;0.630793;12.0266;226.617;610.758;
660;0.608716;220.724;153.632;0.628205;11.9675;227.888;615.448;
670;0.609723;221.951;155.83;0.625645;11.9065;229.123;620.046;
680;0.610716;223.135;158.015;0.623112;11.8438;230.323;624.551;
690;0.611698;224.278;160.186;0.620606;11.7793;231.488;628.964;
700;0.612666;225.378;162.344;0.618126;11.7132;232.618;633.284;
710;0.613623;226.437;164.487;0.615672;11.6455;233.713;637.512;
720;0.614568;227.455;166.615;0.613245;11.5763;234.774;641.648;
730;0.615501;228.432;168.728;0.610842;11.5057;235.801;645.693;
740;0.616423;229.369;170.825;0.608464;11.4337;236.794;649.647;
750;0.617333;230.266;172.907;0.606111;11.3605;237.754;653.511;
760;0.618233;231.124;174.972;0.603782;11.286;238.681;657.285;
770;0.619123;231.943;177.021;0.601476;11.2104;239.576;660.971;
780;0.620002;232.725;179.053;0.599194;11.1337;240.439;664.569;
790;0.620871;233.468;181.068;0.596935;11.056;241.27;668.08;
800;0.62173;234.175;183.066;0.594698;10.9774;242.07;671.505;
810;0.622579;234.846;185.047;0.592483;10.8979;242.84;674.846;
820;0.623419;235.481;187.01;0.59029;10.8175;243.579;678.102;
830;0.62425;236.082;188.957;0.588118;10.7364;244.29;681.277;
840;0.625073;236.648;190.886;0.585967;10.6547;244.971;684.37;
850;0.625886;237.18;192.797;0.583837;10.5722;245.623;687.382;
860;0.626691;237.68;194.691;0.581727;10.4892;246.248;690.316;
870;0.627488;238.148;196.567;0.579637;10.4057;246.846;693.173;
880;0.628277;238.584;198.426;0.577566;10.3217;247.416;695.953;
890;0.629058;238.989;200.267;0.575515;10.2373;247.96;698.658;
900;0.629831;239.365;202.091;0.573482;10.1525;248.479;701.29;
910;0.630598;239.711;203.897;0.571468;10.0675;248.972;703.85;
920;0.631357;240.029;205.687;0.569472;9.98209;249.441;706.339;
930;0.632108;240.318;207.459;0.567494;9.8965;249.886;708.759;
940;0.632854;240.581;209.214;0.565534;9.81073;250.307;711.111;
950;0.633592;240.817;210.952;0.56359;9.72483;250.705;713.397;
960;0.634324;241.028;212.674;0.561664;9.63883;251.081;715.617;
970;0.63505;241.213;214.378;0.559754;9.55277;251.435;717.774;
980;0.63577;241.375;216.067;0.557861;9.4667;251.767;719.869;
990;0.636484;241.512;217.739;0.555983;9.38064;252.079;721.903;
1000;0.637192;241.627;219.395;0.554121;9.29465;252.37;723.877;
1010;0.637895;241.719;221.035;0.552275;9.20874;252.641;725.794;
1020;0.638592;241.79;222.659;0.550444;9.12295;252.893;727.654;
1030;0.639284;241.84;224.268;0.548628;9.03731;253.127;729.459;
1040;0.63997;241.869;225.861;0.546826;8.95186;253.342;731.211;
1050;0.640652;241.879;227.439;0.545039;8.86662;253.539;732.909;
1060;0.641329;241.869;229.003;0.543266;8.78162;253.719;734.557;
1070;0.642001;241.841;230.551;0.541507;8.69688;253.882;736.155;
1080;0.642669;241.795;232.085;0.539762;8.61243;254.029;737.704;
1090;0.643332;241.732;233.605;0.53803;8.52829;254.16;739.206;
1100;0.643991;241.652;235.111;0.536311;8.44448;254.275;740.662;
1110;0.644646;241.556;236.602;0.534605;8.36103;254.375;742.074;
1120;0.645296;241.444;238.081;0.532912;8.27796;254.461;743.442;
1130;0.645943;241.317;239.545;0.531231;8.19528;254.532;744.767;
1140;0.646586;241.176;240.997;0.529563;8.11302;254.59;746.052;
1150;0.647225;241.02;242.436;0.527906;8.03118;254.634;747.296;
1160;0.647861;240.851;243.862;0.526262;7.94979;254.666;748.502;
1170;0.648493;240.669;245.275;0.524629;7.86886;254.684;749.67;
1180;0.649121;240.474;246.676;0.523008;7.7884;254.691;750.801;
1190;0.649746;240.267;248.066;0.521398;7.70843;254.685;751.897;
1200;0.650368;240.048;249.443;0.5198;7.62896;254.668;752.958;
1210;0.650987;239.818;250.809;0.518212;7.55;254.64;753.986;
1220;0.651603;239.577;252.163;0.516635;7.47157;254.601;754.981;
1230;0.652216;239.325;253.506;0.515068;7.39366;254.552;755.944;
1240;0.652825;239.064;254.838;0.513512;7.3163;254.492;756.877;
1250;0.653432;238.793;256.159;0.511967;7.23949;254.423;757.78;
1260;0.654037;238.513;257.47;0.510431;7.16324;254.344;758.654;
1270;0.654639;238.224;258.77;0.508905;7.08755;254.256;759.501;
