time;SP;pSP;IPG1G2;IPG1;pG1P;IPG2;pG2P;SC;pSC;ICG1G2;ICG1;pG1C;ICG2;pG2C;N;...17;file;dSP;gammaPG1;dIPG1;gammaPG2;dIPG2;dSC;gammaCG1;dICG1;gammaCG2;dICG2;psiG1;FG1;psiG2;FG2;pi;FGB;c;kappa;sigma;eul;demog_feedback;vanish_threshold;pBc;pBp;pGc;pGp;fc
0;30.0015;1;0;0;0;0;0;30.0014;1;0;0;0;0;0;60.0029;NA;./competition_output_1;0.5;1;0.5;1;1;0.5;1;0.5;1;1;10;0.5;10;10;1;10.5;0.02;0.001;0;1e-4;1;1e-7;0;0;0;0;0.49999916670694255
10;30.0147;1;0;0;0;0;0;30.0141;1;0;0;0;0;0;60.0288;NA;./competition_output_1;0.5;1;0.5;1;1;0.5;1;0.5;1;1;10;0.5;10;10;1;10.5;0.02;0.001;0;1e-4;1;1e-7;0;0;0;0;0.4999950023988486
50;30.0676;1;0;0;0;0;0;30.0647;1;0;0;0;0;0;60.1323;NA;./competition_output_1;0.5;1;0.5;1;1;0.5;1;0.5;1;1;10;0.5;10;10;1;10.5;0.02;0.001;0;1e-4;1;1e-7;0;0;0;0;0.49997588650359287
100;30.1338;1;0;0;0;0;0;30.1281;1;0;0;0;0;0;60.2618;NA;./competition_output_1;0.5;1;0.5;1;1;0.5;1;0.5;1;1;10;0.5;10;10;1;10.5;0.02;0.001;0;1e-4;1;1e-7;0;0;0;0;0.4999535360709438
1000;31.3469;1;0;0;0;0;0;31.2886;1;0;0;0;0;0;62.6355;NA;./competition_output_1;0.5;1;0.5;1;1;0.5;1;0.5;1;1;10;0.5;10;10;1;10.5;0.02;0.001;0;1e-4;1;1e-7;0;0;0;0;0.49953460896775786
8556098;499.899;1;0;0;0;0;0;0.0990228;1;0;0;0;0;0;499.998;NA;./competition_output_1;0.5;1;0.5;1;1;0.5;1;0.5;1;1;10;0.5;10;10;1;10.5;0.02;0.001;0;1e-4;1;1e-7;0;0;0;0;1.9804639218556872e-4
0;30.0015;1;0;0;0;0;0;30.0014;1;0;0;0;0;0;60.0029;NA;./competition_output_10;0.5;1;0.5;1;1;0.5;1;0.5;1;1;10;5;10;10;1;15;0.02;0.001;0;1e-4;1;1e-7;0;0;0;0;0.49999916670694255
10;30.0147;1;0;0;0;0;0;30.0141;1;0;0;0;0;0;60.0288;NA;./competition_output_10;0.5;1;0.5;1;1;0.5;1;0.5;1;1;10;5;10;10;1;15;0.02;0.001;0;1e-4;1;1e-7;0;0;0;0;0.4999950023988486
50;30.0676;1;0;0;0;0;0;30.0647;1;0;0;0;0;0;60.1323;NA;./competition_output_10;0.5;1;0.5;1;1;0.5;1;0.5;1;1;10;5;10;10;1;15;0.02;0.001;0;1e-4;1;1e-7;0;0;0;0;0.49997588650359287
100;30.1338;1;0;0;0;0;0;30.1281;1;0;0;0;0;0;60.2618;NA;./competition_output_10;0.5;1;0.5;1;1;0.5;1;0.5;1;1;10;5;10;10;1;15;0.02;0.001;0;1e-4;1;1e-7;0;0;0;0;0.4999535360709438
1000;31.3469;1;0;0;0;0;0;31.2886;1;0;0;0;0;0;62.6355;NA;./competition_output_10;0.5;1;0.5;1;1;0.5;1;0.5;1;1;10;5;10;10;1;15;0.02;0.001;0;1e-4;1;1e-7;0;0;0;0;0.49953460896775786
8556098;499.899;1;0;0;0;0;0;0.0990228;1;0;0;0;0;0;499.998;NA;./competition_output_10;0.5;1;0.5;1;1;0.5;1;0.5;1;1;10;5;10;10;1;15;0.02;0.001;0;1e-4;1;1e-7;0;0;0;0;1.9804639218556872e-4
