time;SP;pSP;IPG1G2;IPG1;pG1P;IPG2;pG2P;SC;pSC;ICG1G2;ICG1;pG1C;ICG2;pG2C;N;...17;file;dSP;gammaPG1;dIPG1;gammaPG2;dIPG2;dSC;gammaCG1;dICG1;gammaCG2;dICG2;psiG1;FG1;psiG2;FG2;pi;FGB;c;kappa;sigma;eul;demog_feedback;vanish_threshold;pBc;pBp;pGc;pGp;fc
0;30.0015;1;0;0;0;0;0;30.0014;1;0;0;0;0;0;60.0029;NA;./competition_output_1;0.5;1;0.5;1;1;0.5;1;0.5;1;1;0.5;6;0.5;10;1;16;0.02;0.001;0;1e-4;1;1e-7;0;0;0;0;0.49999916670694255
10;30.0147;1;0;0;0;0;0;30.0141;1;0;0;0;0;0;60.0288;NA;./competition_output_1;0.5;1;0.5;1;1;0.5;1;0.5;1;1;0.5;6;0.5;10;1;16;0.02;0.001;0;1e-4;1;1e-7;0;0;0;0;0.4999950023988486
50;30.0676;1;0;0;0;0;0;30.0647;1;0;0;0;0;0;60.1323;NA;./competition_output_1;0.5;1;0.5;1;1;0.5;1;0.5;1;1;0.5;6;0.5;10;1;16;0.02;0.001;0;1e-4;1;1e-7;0;0;0;0;0.49997588650359287
100;30.1338;1;0;0;0;0;0;30.1281;1;0;0;0;0;0;60.2618;NA;./competition_output_1;0.5;1;0.5;1;1;0.5;1;0.5;1;1;0.5;6;0.5;10;1;16;0.02;0.001;0;1e-4;1;1e-7;0;0;0;0;0.4999535360709438
1000;31.3469;1;0;0;0;0;0;31.2886;1;0;0;0;0;0;62.6355;NA;./competition_output_1;0.5;1;0.5;1;1;0.5;1;0.5;1;1;0.5;6;0.5;10;1;16;0.02;0.001;0;1e-4;1;1e-7;0;0;0;0;0.49953460896775786
8556098;499.899;1;0;0;0;0;0;0.0990228;1;0;0;0;0;0;499.998;NA;./competition_output_1;0.5;1;0.5;1;1;0.5;1;0.5;1;1;0.5;6;0.5;10;1;16;0.02;0.001;0;1e-4;1;1e-7;0;0;0;0;1.9804639218556872e-4
0;29.9971;0.967681;0;1.00185;0.0323188;0;0;29.9984;1;0;0;0;0;0;60.9974;NA;./competition_output_10;1.5;1;1.5;1;1;1.5;1;1.5;1;1;0.5;6;0.5;10;1;16;0.02;0.001;0;1e-4;1;1e-7;0;0.032318836605756;0;0;0.4917980110627666
10;29.9661;0.967077;0;1.02016;0.0329229;0;0;29.9811;1;0;0;0;0;0;60.9674;NA;./competition_output_10;1.5;1;1.5;1;1;1.5;1;1.5;1;1;0.5;6;0.5;10;1;16;0.02;0.001;0;1e-4;1;1e-7;0;0.03292297941087437;0;0;0.4917562500615083
50;29.8401;0.964552;0;1.09663;0.0354475;0;0;29.9116;1;0;0;0;0;0;60.8483;NA;./competition_output_10;1.5;1;1.5;1;1;1.5;1;1.5;1;1;0.5;6;0.5;10;1;16;0.02;0.001;0;1e-4;1;1e-7;0;0.035447508511727;0;0;0.491576592936861
100;29.6771;0.961139;0;1.1999;0.0388607;0;0;29.8251;1;0;0;0;0;0;60.7021;NA;./competition_output_10;1.5;1;1.5;1;1;1.5;1;1.5;1;1;0.5;6;0.5;10;1;16;0.02;0.001;0;1e-4;1;1e-7;0;0.03886064060627652;0;0;0.4913355551125908
1000;25.0288;0.819115;0;5.52709;0.180885;0;0;28.3126;1;0;0;0;0;0;58.8685;NA;./competition_output_10;1.5;1;1.5;1;1;1.5;1;1.5;1;1;0.5;6;0.5;10;1;16;0.02;0.001;0;1e-4;1;1e-7;0;0.18088460195399317;0;0;0.4809465163882212
91902;1.99334;0.00265975;0;747.451;0.99734;0;0;5.73587e-4;1;0;0;0;0;0;749.444;NA;./competition_output_10;1.5;1;1.5;1;1;1.5;1;1.5;1;1;0.5;6;0.5;10;1;16;0.02;0.001;0;1e-4;1;1e-7;0;0.9973402427723985;0;0;7.653500461675589e-7
0;29.982;0.937032;0;1.00483;0.0314041;1.00996;0.0315644;29.9864;0.967417;0;0;0;1.00994;0.0325825;62.9931;NA;./competition_output_100;2.5;1;2.5;1;1;2.5;1;2.5;1;1;1.52632;6;1.52632;10;1;16;0.02;0.001;0;1e-4;1;1e-7;0;0.03140408772254967;0.03258255652118928;0.03156441630551065;0.49205928903324336
10;29.7941;0.93217;0;1.05386;0.0329722;1.11412;0.0348574;29.8437;0.964016;0;0;0;1.11398;0.035984;62.9197;NA;./competition_output_100;2.5;1;2.5;1;1;2.5;1;2.5;1;1;1.52632;6;1.52632;10;1;16;0.02;0.001;0;1e-4;1;1e-7;0;0.03297219705350841;0.0359839626225221;0.03485755620410186;0.49201887485159657
50;28.9273;0.908571;0;1.27117;0.0399258;1.63976;0.0515028;29.1741;0.946744;0;0;0;1.6411;0.0532562;62.6534;NA;./competition_output_100;2.5;1;2.5;1;1;2.5;1;2.5;1;1;1.52632;6;1.52632;10;1;16;0.02;0.001;0;1e-4;1;1e-7;0;0.03992590040338297;0.05325618525922272;0.05150286306745067;0.49183603762924283
100;27.5185;0.867358;0;1.59329;0.0502191;2.61502;0.0824232;28.0471;0.914353;0;0;0;2.62714;0.0856465;62.401;NA;./competition_output_100;2.5;1;2.5;1;1;2.5;1;2.5;1;1;1.52632;6;1.52632;10;1;16;0.02;0.001;0;1e-4;1;1e-7;0;0.050219041876570635;0.08564645774434834;0.08242303591189912;0.4915664813063893
1000;0.33502;0.00657145;0;5.63542;0.110539;45.0107;0.882889;0.35264;0.00706261;0;0;0;49.5779;0.992937;100.912;NA;./competition_output_100;2.5;1;2.5;1;1;2.5;1;2.5;1;1;1.52632;6;1.52632;10;1;16;0.02;0.001;0;1e-4;1;1e-7;0;0.11053930924259442;0.9929373886202713;0.8828892410016724;0.49479288885365463
4951484;0.653992;7.2684e-4;0;1.2989e-303;1.4822e-303;899.121;0.999273;3.66147e-5;7.26849e-4;0;0;0;0.0503379;0.999273;899.825;NA;./competition_output_100;2.5;1;2.5;1;1;2.5;1;2.5;1;1;1.52632;6;1.52632;10;1;16;0.02;0.001;0;1e-4;1;1e-7;0;1.4435831308367814e-306;0.9992731503178134;0.9992731605058879;5.598256849943044e-5
0;29.8729;0.933848;0;1.03845;0.0324626;1.07769;0.0336895;29.9111;0.965224;0;0;0;1.07767;0.0347762;62.9778;NA;./competition_output_1000;5;1;5;1;1;5;1;5;1;1;12.8158;6;12.8158;10;1;16;0.02;0.001;0;1e-4;1;1e-7;0;0.03246268096823162;0.03477614632655636;0.03368935110275269;0.4920586301839696
10;28.1529;0.882976;0;1.49843;0.0469962;2.23277;0.0700277;28.6388;0.927381;0;0;0;2.24258;0.0726191;62.7655;NA;./competition_output_1000;5;1;5;1;1;5;1;5;1;1;12.8158;6;12.8158;10;1;16;0.02;0.001;0;1e-4;1;1e-7;0;0.04699615168689096;0.07261916403994899;0.0700276940544033;0.49201201296890806
50;9.57517;0.300654;0;4.19455;0.131706;18.0781;0.567641;11.2843;0.366121;0;0;0;19.537;0.633879;62.6692;NA;./competition_output_1000;5;1;5;1;1;5;1;5;1;1;12.8158;6;12.8158;10;1;16;0.02;0.001;0;1e-4;1;1e-7;0;0.13170603199842248;0.6338798168798849;0.5676401084909423;0.4918093736636179
100;0.248805;0.00757785;0;5.03041;0.15321100000000001;27.554;0.839211;0.384749;0.0120698;0;0;0;31.4922;0.98793;64.7101;NA;./competition_output_1000;5;1;5;1;1;5;1;5;1;1;12.8158;6;12.8158;10;1;16;0.02;0.001;0;1e-4;1;1e-7;0;0.1532110090346011;0.987930181147512;0.8392111463955023;0.4926116479498564
1000;0.0382988;6.10562e-4;0;5.01964;0.0800234;57.6692;0.919366;0.0411569;6.3547e-4;0;0;0;64.725;0.999365;127.493;NA;./competition_output_1000;5;1;5;1;1;5;1;5;1;1;12.8158;6;12.8158;10;1;16;0.02;0.001;0;1e-4;1;1e-7;0;0.08002341723260618;0.9993645307677658;0.9193660208840898;0.5079977481116611
4971338;0.0779912;8.66659e-5;0;5.55824e-302;4.94066e-302;899.829;0.999913;4.36624e-6;8.6666e-5;0;0;0;0.0503757;0.999913;899.957;NA;./competition_output_1000;5;1;5;1;1;5;1;5;1;1;12.8158;6;12.8158;10;1;16;0.02;0.001;0;1e-4;1;1e-7;0;6.17646051686769e-305;0.9999133339765931;0.999913334154793;5.598052600290903e-5
0;29.9865;1;0;0;0;0;0;29.9864;1;0;0;0;0;0;59.9729;NA;./competition_output_1001;5.5;1;5.5;1;1;5.5;1;5.5;1;1;12.8158;6;12.8158;10;1;16;0.02;0.001;0;1e-4;1;1e-7;0;0;0;0;0.49999916629010766
10;29.85;1;0;0;0;0;0;29.8494;1;0;0;0;0;0;59.6995;NA;./competition_output_1001;5.5;1;5.5;1;1;5.5;1;5.5;1;1;12.8158;6;12.8158;10;1;16;0.02;0.001;0;1e-4;1;1e-7;0;0;0;0;0.4999941373043325
50;29.3105;1;0;0;0;0;0;29.3077;1;0;0;0;0;0;58.6182;NA;./competition_output_1001;5.5;1;5.5;1;1;5.5;1;5.5;1;1;12.8158;6;12.8158;10;1;16;0.02;0.001;0;1e-4;1;1e-7;0;0;0;0;0.4999761166327182
100;28.6499;1;0;0;0;0;0;28.6445;1;0;0;0;0;0;57.2944;NA;./competition_output_1001;5.5;1;5.5;1;1;5.5;1;5.5;1;1;12.8158;6;12.8158;10;1;16;0.02;0.001;0;1e-4;1;1e-7;0;0;0;0;0.4999528749755648
1000;19.0264;1;0;0;0;0;0;18.9905;1;0;0;0;0;0;38.0169;NA;./competition_output_1001;5.5;1;5.5;1;1;5.5;1;5.5;1;1;12.8158;6;12.8158;10;1;16;0.02;0.001;0;1e-4;1;1e-7;0;0;0;0;0.49952784156519864
26216;2.22113e-4;1;0;0;0;0;0;2.10927e-4;1;0;0;0;0;0;4.3304e-4;NA;./competition_output_1001;5.5;1;5.5;1;1;5.5;1;5.5;1;1;12.8158;6;12.8158;10;1;16;0.02;0.001;0;1e-4;1;1e-7;0;0;0;0;0.48708433401071494
0;29.9482;0.966489;0;1.0384;0.0335112;0;0;29.9864;1;0;0;0;0;0;60.973;NA;./competition_output_1002;5.5;1;5.5;1;1;5.5;1;5.5;1;1;12.8158;6;12.8158;10;1;16;0.02;0.001;0;1e-4;1;1e-7;0;0.033511259705808316;0;0;0.49179800895478326
10;29.3441;0.951145;0;1.50724;0.048855;0;0;29.8494;1;0;0;0;0;0;60.7007;NA;./competition_output_1002;5.5;1;5.5;1;1;5.5;1;5.5;1;1;12.8158;6;12.8158;10;1;16;0.02;0.001;0;1e-4;1;1e-7;0;0.04885492818140152;0;0;0.4917472121408814
50;24.3941;0.803649;0;5.96008;0.196351;0;0;29.3076;1;0;0;0;0;0;59.6617;NA;./competition_output_1002;5.5;1;5.5;1;1;5.5;1;5.5;1;1;12.8158;6;12.8158;10;1;16;0.02;0.001;0;1e-4;1;1e-7;0;0.19635121093701097;0;0;0.49122971688704814
100;11.1032;0.370763;0;18.8437;0.629237;0;0;28.6442;1;0;0;0;0;0;58.5911;NA;./competition_output_1002;5.5;1;5.5;1;1;5.5;1;5.5;1;1;12.8158;6;12.8158;10;1;16;0.02;0.001;0;1e-4;1;1e-7;0;0.6292370829701905;0;0;0.4888831238874164
1000;0.0771204;0.00255113;0;30.1528;0.997449;0;0;18.9795;1;0;0;0;0;0;49.2093;NA;./competition_output_1002;5.5;1;5.5;1;1;5.5;1;5.5;1;1;12.8158;6;12.8158;10;1;16;0.02;0.001;0;1e-4;1;1e-7;0;0.9974488718799274;0;0;0.3856892904390024
229472;0.0776922;9.40442e-4;0;82.5347;0.99906;0;0;4.8923999999999994e-45;1;0;0;0;0;0;82.6124;NA;./competition_output_1002;5.5;1;5.5;1;1;5.5;1;5.5;1;1;12.8158;6;12.8158;10;1;16;0.02;0.001;0;1e-4;1;1e-7;0;0.9990595575563057;0;0;5.922113387336526e-47
0;29.9097;0.965222;0;0;0;1.07769;0.0347785;29.9096;0.965222;0;0;0;1.07767;0.0347779;61.9747;NA;./competition_output_1003;5.5;1;5.5;1;1;5.5;1;5.5;1;1;12.8158;6;12.8158;10;1;16;0.02;0.001;0;1e-4;1;1e-7;0;0;0.03477782973459746;0.034778340479788714;0.4999987091506696
10;28.6226;0.927313;0;0;0;2.24357;0.072687;28.622;0.927321;0;0;0;2.24325;0.0726788;61.7314;NA;./competition_output_1003;5.5;1;5.5;1;1;5.5;1;5.5;1;1;12.8158;6;12.8158;10;1;16;0.02;0.001;0;1e-4;1;1e-7;0;0;0.07267882165218167;0.07268702271775217;0.4999927103548599
50;10.8882;0.35377;0;0;0;19.8894;0.64623;10.8871;0.353843;0;0;0;19.8811;0.646157;61.5458;NA;./competition_output_1003;5.5;1;5.5;1;1;5.5;1;5.5;1;1;12.8158;6;12.8158;10;1;16;0.02;0.001;0;1e-4;1;1e-7;0;0;0.6461573962727751;0.64622972551466;0.49992363410663276
100;0.297481;0.00933426;0;0;0;31.5724;0.990666;0.297393;0.00934218;0;0;0;31.536;0.990658;63.7032;NA;./competition_output_1003;5.5;1;5.5;1;1;5.5;1;5.5;1;1;12.8158;6;12.8158;10;1;16;0.02;0.001;0;1e-4;1;1e-7;0;0;0.9906578290287812;0.9906657637033536;0.4997141901819689
1000;0.03924;5.96671e-4;0;0;0;65.7257;0.999403;0.0385717;5.96726e-4;0;0;0;64.6002;0.999403;130.404;NA;./competition_output_1003;5.5;1;5.5;1;1;5.5;1;5.5;1;1;12.8158;6;12.8158;10;1;16;0.02;0.001;0;1e-4;1;1e-7;0;0;0.999403273004954;0.9994033294944084;0.4956808970583725
4908562;0.0779879;8.66625e-5;0;0;0;899.825;0.999913;4.36588e-6;8.66627e-5;0;0;0;0.0503734;0.999913;899.953;NA;./competition_output_1003;5.5;1;5.5;1;1;5.5;1;5.5;1;1;12.8158;6;12.8158;10;1;16;0.02;0.001;0;1e-4;1;1e-7;0;0;0.9999133371652407;0.999913337436314;5.5978218729200305e-5
0;29.8714;0.933846;0;1.0384;0.0324626;1.07769;0.0336912;29.9096;0.965222;0;0;0;1.07767;0.0347779;62.9748;NA;./competition_output_1004;5.5;1;5.5;1;1;5.5;1;5.5;1;1;12.8158;6;12.8158;10;1;16;0.02;0.001;0;1e-4;1;1e-7;0;0.032462690883217155;0.03477782973459746;0.033690983568888964;0.49205825187217744
10;28.1375;0.882958;0;1.49749;0.0469913;2.23234;0.0700511;28.6231;0.927357;0;0;0;2.24215;0.0726433;62.7326;NA;./competition_output_1004;5.5;1;5.5;1;1;5.5;1;5.5;1;1;12.8158;6;12.8158;10;1;16;0.02;0.001;0;1e-4;1;1e-7;0;0.04699138584876737;0.07264318286746423;0.07005105228458111;0.4920129246994386
50;9.56894;0.301055;0;4.17936;0.13149;18.0364;0.567455;11.273;0.366462;0;0;0;19.4887;0.633538;62.5464;NA;./competition_output_1004;5.5;1;5.5;1;1;5.5;1;5.5;1;1;12.8158;6;12.8158;10;1;16;0.02;0.001;0;1e-4;1;1e-7;0;0.1314896789964983;0.6335378083786007;0.5674554109367086;0.4918220712942712
100;0.250193;0.00763977;0;5.00049;0.152693;27.498;0.839667;0.386352;0.0121473;0;0;0;31.4191;0.987853;64.5542;NA;./competition_output_1004;5.5;1;5.5;1;1;5.5;1;5.5;1;1;12.8158;6;12.8158;10;1;16;0.02;0.001;0;1e-4;1;1e-7;0;0.15269285790820963;0.9878526486591042;0.8396673539513024;0.49269376740785265
1000;0.0382153;6.12708e-4;0;4.77081;0.0764907;57.5621;0.922897;0.041140500000000003;6.36497e-4;0;0;0;64.5947;0.999364;127.007;NA;./competition_output_1004;5.5;1;5.5;1;1;5.5;1;5.5;1;1;12.8158;6;12.8158;10;1;16;0.02;0.001;0;1e-4;1;1e-7;0;0.076490683422061;0.9993635032873132;0.9228966083765687;0.5089155755194595
4971407;0.0779879;8.66625e-5;0;4.98018e-302;4.94066e-302;899.825;0.999913;4.36588e-6;8.66627e-5;0;0;0;0.0503735;0.999913;899.953;NA;./competition_output_1004;5.5;1;5.5;1;1;5.5;1;5.5;1;1;12.8158;6;12.8158;10;1;16;0.02;0.001;0;1e-4;1;1e-7;0;5.534129863955305e-305;0.9999133373372663;0.999913337436314;5.597832984611419e-5
0;29.985;1;0;0;0;0;0;29.9849;1;0;0;0;0;0;59.9699;NA;./competition_output_1005;6;1;6;1;1;6;1;6;1;1;12.8158;6;12.8158;10;1;16;0.02;0.001;0;1e-4;1;1e-7;0;0;0;0;0.49999916624840124
10;29.8336;1;0;0;0;0;0;29.833;1;0;0;0;0;0;59.6666;NA;./competition_output_1005;6;1;6;1;1;6;1;6;1;1;12.8158;6;12.8158;10;1;16;0.02;0.001;0;1e-4;1;1e-7;0;0;0;0;0.49999497206142124
50;29.2358;1;0;0;0;0;0;29.233;1;0;0;0;0;0;58.4689;NA;./competition_output_1005;6;1;6;1;1;6;1;6;1;1;12.8158;6;12.8158;10;1;16;0.02;0.001;0;1e-4;1;1e-7;0;0;0;0;0.4999752004912013
100;28.5056;1;0;0;0;0;0;28.5002;1;0;0;0;0;0;57.0058;NA;./competition_output_1005;6;1;6;1;1;6;1;6;1;1;12.8158;6;12.8158;10;1;16;0.02;0.001;0;1e-4;1;1e-7;0;0;0;0;0.49995263639840154
1000;18.0991;1;0;0;0;0;0;18.0649;1;0;0;0;0;0;36.164;NA;./competition_output_1005;6;1;6;1;1;6;1;6;1;1;12.8158;6;12.8158;10;1;16;0.02;0.001;0;1e-4;1;1e-7;0;0;0;0;0.49952715407587656
23808;1.99802e-4;1;0;0;0;0;0;1.90641e-4;1;0;0;0;0;0;3.90443e-4;NA;./competition_output_1005;6;1;6;1;1;6;1;6;1;1;12.8158;6;12.8158;10;1;16;0.02;0.001;0;1e-4;1;1e-7;0;0;0;0;0.4882684540381054
0;29.9467;0.966489;0;1.03835;0.0335113;0;0;29.9849;1;0;0;0;0;0;60.9699;NA;./competition_output_1006;6;1;6;1;1;6;1;6;1;1;12.8158;6;12.8158;10;1;16;0.02;0.001;0;1e-4;1;1e-7;0;0.033511322395800555;0;0;0.4917984120033
10;29.328;0.951149;0;1.50629;0.0488511;0;0;29.833;1;0;0;0;0;0;60.6673;NA;./competition_output_1006;6;1;6;1;1;6;1;6;1;1;12.8158;6;12.8158;10;1;16;0.02;0.001;0;1e-4;1;1e-7;0;0.048851132943226516;0;0;0.4917476136238138
50;24.343;0.804016;0;5.93376;0.195984;0;0;29.2329;1;0;0;0;0;0;59.5097;NA;./competition_output_1006;6;1;6;1;1;6;1;6;1;1;12.8158;6;12.8158;10;1;16;0.02;0.001;0;1e-4;1;1e-7;0;0.19598398243405174;0;0;0.49122916096031405
100;11.1134;0.372993;0;18.6817;0.627007;0;0;28.4999;1;0;0;0;0;0;58.295;NA;./competition_output_1006;6;1;6;1;1;6;1;6;1;1;12.8158;6;12.8158;10;1;16;0.02;0.001;0;1e-4;1;1e-7;0;0.6270057828300627;0;0;0.48889098550476023
1000;0.0769732;0.00267529;0;28.6949;0.997325;0;0;18.0548;1;0;0;0;0;0;46.8266;NA;./competition_output_1006;6;1;6;1;1;6;1;6;1;1;12.8158;6;12.8158;10;1;16;0.02;0.001;0;1e-4;1;1e-7;0;0.9973247066861117;0;0;0.3855671776298087
353184;2.49427e-4;0.199152;0;0.00100302;0.800848;0;0;2.3045e-76;1;0;0;0;0;0;0.00125244;NA;./competition_output_1006;6;1;6;1;1;6;1;6;1;1;12.8158;6;12.8158;10;1;16;0.02;0.001;0;1e-4;1;1e-7;0;0.800848259447306;0;0;1.8400083037909997e-73
0;29.9082;0.96522;0;0;0;1.07769;0.0347802;29.9081;0.96522;0;0;0;1.07767;0.0347796;61.9717;NA;./competition_output_1007;6;1;6;1;1;6;1;6;1;1;12.8158;6;12.8158;10;1;16;0.02;0.001;0;1e-4;1;1e-7;0;0;0.03477951330562384;0.0347800240690198;0.4999987090881806
10;28.6069;0.927289;0;0;0;2.24314;0.0727111;28.6063;0.927297;0;0;0;2.24282;0.0727029;61.6991;NA;./competition_output_1007;6;1;6;1;1;6;1;6;1;1;12.8158;6;12.8158;10;1;16;0.02;0.001;0;1e-4;1;1e-7;0;0;0.07270288423138165;0.07271108886730779;0.499993030692506
50;10.8786;0.354143;0;0;0;19.8396;0.645857;10.8776;0.354216;0;0;0;19.8313;0.645784;61.427;NA;./competition_output_1007;6;1;6;1;1;6;1;6;1;1;12.8158;6;12.8158;10;1;16;0.02;0.001;0;1e-4;1;1e-7;0;0;0.6457834699386822;0.6458581557513136;0.4999251143633907
100;0.298986;0.00940229;0;0;0;31.5003;0.990598;0.298898;0.00941027;0;0;0;31.464;0.99059;63.5623;NA;./competition_output_1007;6;1;6;1;1;6;1;6;1;1;12.8158;6;12.8158;10;1;16;0.02;0.001;0;1e-4;1;1e-7;0;0;0.9905897125633814;0.990597713420358;0.49971284865399773
1000;0.0392281;5.97732e-4;0;0;0;65.589;0.999402;0.0385598;5.97787e-4;0;0;0;64.4656;0.999402;130.132;NA;./competition_output_1007;6;1;6;1;1;6;1;6;1;1;12.8158;6;12.8158;10;1;16;0.02;0.001;0;1e-4;1;1e-7;0;0;0.9994022121965536;0.9994022678786905;0.4956825361940183
4908346;0.0779845;8.66592e-5;0;0;0;899.82;0.999913;4.36552e-6;8.66593e-5;0;0;0;0.0503713;0.999913;899.949;NA;./competition_output_1007;6;1;6;1;1;6;1;6;1;1;12.8158;6;12.8158;10;1;16;0.02;0.001;0;1e-4;1;1e-7;0;0;0.9999133406982332;0.9999133407326795;5.597613366979685e-5
0;29.8699;0.933845;0;1.03835;0.0324627;1.07769;0.0336928;29.9081;0.96522;0;0;0;1.07767;0.0347796;62.9717;NA;./competition_output_1008;6;1;6;1;1;6;1;6;1;1;12.8158;6;12.8158;10;1;16;0.02;0.001;0;1e-4;1;1e-7;0;0.032462700799163635;0.03477951330562384;0.033692616193239905;0.4920586549195909
