time;SP;pSP;IPG1G2;IPG1;pG1P;IPG2;pG2P;SC;pSC;ICG1G2;ICG1;pG1C;ICG2;pG2C;N;...17;file;dSP;gammaPG1;dIPG1;gammaPG2;dIPG2;dSC;gammaCG1;dICG1;gammaCG2;dICG2;psiG1;FG1;psiG2;FG2;pi;FGB;c;kappa;sigma;eul;demog_feedback;vanish_threshold;pBc;pBp;pGc;pGp;fc
0;30;1;0;0;0;0;0;30;1;0;0;0;0;0;60;NA;./competition_output_1;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0;1;0;1e-4;1;1e-7;0;0;0;0;0.5
0;29.9401;0.965794;0;1.0604;0.0342059;0;0;29.9997;1;0;0;0;0;0;61.0002;NA;./competition_output_10;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.105263;1;0;1e-4;1;1e-7;0;0.03420589990484024;0;0;0.49179674820738295
10;27.5512;0.954118;0;1.3249;0.0458823;0;0;28.4333;1;0;0;0;0;0;57.3094;NA;./competition_output_10;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.105263;1;0;1e-4;1;1e-7;0;0.04588223478932404;0;0;0.49613675941468593
50;19.2447;0.883469;0;2.5384;0.116531;0;0;23.6283;1;0;0;0;0;0;45.4115;NA;./competition_output_10;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.105263;1;0;1e-4;1;1e-7;0;0.11653070499607494;0;0;0.5203153386256786
100;11.5083;0.763274;0;3.56926;0.236726;0;0;19.7288;1;0;0;0;0;0;34.8064;NA;./competition_output_10;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.105263;1;0;1e-4;1;1e-7;0;0.23672663216064138;0;0;0.5668152983359382
1000;0.532019;0.824895;0;0.112935;0.175105;0;0;6.59294;1;0;0;0;0;0;7.23789;NA;./competition_output_10;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.105263;1;0;1e-4;1;1e-7;0;0.17510551140081307;0;0;0.9108925391239712
108154;0.0474778;0.0576364;0;0.776269;0.942364;0;0;9.64637e-4;1;0;0;0;0;0;0.824711;NA;./competition_output_10;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.105263;1;0;1e-4;1;1e-7;0;0.9423636000771111;0;0;0.0011696667074890476
0;29.8202;0.93184;0;1.0604;0.0331361;1.1208;0.0350235;29.8795;0.963851;0;0;0;1.12061;0.0361486;63.0015;NA;./competition_output_100;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.210526;1;0;1e-4;1;1e-7;0;0.033136050297799466;0.03614858140825952;0.0350234677232871;0.4920535225351777
10;25.815;0.889681;0;1.29351;0.0445793;1.90751;0.06574;26.7893;0.928274;0;0;0;2.06996;0.071726;57.8752;NA;./competition_output_100;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.210526;1;0;1e-4;1;1e-7;0;0.04457916695673631;0.0717260248530281;0.06573989127385492;0.498646397766228
50;9.06791;0.542592;0;1.69312;0.101311;5.95118;0.356098;11.1038;0.589591;0;0;0;7.72923;0.410409;35.5452;NA;./competition_output_100;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.210526;1;0;1e-4;1;1e-7;0;0.10131035931214365;0.41040820303477454;0.35609772735024275;0.5298332826935845
100;1.67586;0.214475;0;1.24127;0.158857;4.89664;0.626669;2.4459;0.244302;0;0;0;7.56589;0.755698;17.8256;NA;./competition_output_100;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.210526;1;0;1e-4;1;1e-7;0;0.15885673624895538;0.7556980320202481;0.6266680488419802;0.5616523426981419
1000;0.0192806;0.0288999;0;0.230454;0.345431;0.417415;0.625669;0.0371601;0.0338394;0;0;0;1.06097;0.966161;1.76528;NA;./competition_output_100;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.210526;1;0;1e-4;1;1e-7;0;0.345430769950248;0.9661605669492167;0.6256692651843004;0.6220713427898124
295862;0.0472;0.053069;0;7.27897e-9;8.18406e-9;0.842209;0.946931;2.91917e-4;0.0535535;0;0;0;0.00515901;0.946446;0.89486;NA;./competition_output_100;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.210526;1;0;1e-4;1;1e-7;0;8.18405248926931e-9;0.9464463567389547;0.9469310442184836;0.006091374069686879
0;29.8202;0.93184;0;1.0604;0.0331361;1.1208;0.0350235;29.879;0.963857;0;0;0;1.12042;0.0361434;63.0008;NA;./competition_output_1000;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.473684;1;0;1e-4;1;1e-7;0;0.033136050297799466;0.036143256873838285;0.0350234677232871;0.4920480374852383
10;25.766;0.888445;0;1.29165;0.0445378;1.94357;0.067017;27.0442;0.922734;0;0;0;2.26458;0.0772663;58.3099;NA;./competition_output_1000;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.473684;1;0;1e-4;1;1e-7;0;0.04453778151401906;0.07726626628607537;0.06701683584345762;0.5026381454950188
50;8.01676;0.499068;0;1.58909;0.0989259;6.45762;0.402006;10.2727;0.508269;0;0;0;9.93839;0.491731;36.2745;NA;./competition_output_1000;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.473684;1;0;1e-4;1;1e-7;0;0.09892569911731398;0.49172954056411605;0.4020065403054259;0.5571707397758755
100;1.16506;0.168008;0;1.05123;0.151593;4.71828;0.6804;1.79956;0.156658;0;0;0;9.68762;0.843342;18.4217;NA;./competition_output_1000;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.473684;1;0;1e-4;1;1e-7;0;0.15159267265309892;0.843341881993666;0.6803997940751914;0.6235678574724374
1000;0.0107858;0.0260544;0;0.146091;0.352901;0.257094;0.621044;0.0412361;0.0263341;0;0;0;1.52465;0.973666;1.97985;NA;./competition_output_1000;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.473684;1;0;1e-4;1;1e-7;0;0.35290170224566564;0.9736659645934655;0.6210438030894933;0.7909114831931713
183073;0.0473478;0.0530691;0;2.38738e-6;2.67586e-6;0.844841;0.946928;1.44216e-4;0.0540404;0;0;0;0.00252446;0.94596;0.89486;NA;./competition_output_1000;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.473684;1;0;1e-4;1;1e-7;0;2.6758614451357195e-6;0.9459597193514687;0.9469282054678795;0.0029822273875243057
0;30;1;0;0;0;0;0;29.9988;1;0;0;0;0;0;59.9988;NA;./competition_output_1001;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.526316;1;0;1e-4;1;1e-7;0;0;0;0;0.499989999799996
10;28.2837;1;0;0;0;0;0;28.962;1;0;0;0;0;0;57.2457;NA;./competition_output_1001;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.526316;1;0;1e-4;1;1e-7;0;0;0;0;0.5059244624487079
50;22.8961;1;0;0;0;0;0;25.5244;1;0;0;0;0;0;48.4206;NA;./competition_output_1001;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.526316;1;0;1e-4;1;1e-7;0;0;0;0;0.5271392754323573
100;18.3298;1;0;0;0;0;0;22.338;1;0;0;0;0;0;40.6678;NA;./competition_output_1001;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.526316;1;0;1e-4;1;1e-7;0;0;0;0;0.5492797741702281
1000;3.1824;1;0;0;0;0;0;7.65612;1;0;0;0;0;0;10.8385;NA;./competition_output_1001;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.526316;1;0;1e-4;1;1e-7;0;0;0;0;0.7063818794113577
129942;0.0271336;1;0;0;0;0;0;0.00234381;1;0;0;0;0;0;0.0294774;NA;./competition_output_1001;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.526316;1;0;1e-4;1;1e-7;0;0;0;0;0.07951210079586395
0;29.9401;0.965794;0;1.0604;0.0342059;0;0;29.9988;1;0;0;0;0;0;60.9993;NA;./competition_output_1002;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.526316;1;0;1e-4;1;1e-7;0;0.03420589990484024;0;0;0.4917892500405742
10;27.5449;0.95417;0;1.32302;0.0458301;0;0;28.9481;1;0;0;0;0;0;57.816;NA;./competition_output_1002;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.526316;1;0;1e-4;1;1e-7;0;0.04583011176420054;0;0;0.5006935796319357
50;19.1922;0.886502;0;2.45717;0.113498;0;0;25.5305;1;0;0;0;0;0;47.1799;NA;./competition_output_1002;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.526316;1;0;1e-4;1;1e-7;0;0.1134984528418148;0;0;0.5411308629310363
100;11.5808;0.781623;0;3.23556;0.218377;0;0;22.4975;1;0;0;0;0;0;37.3138;NA;./competition_output_1002;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.526316;1;0;1e-4;1;1e-7;0;0.2183775232243277;0;0;0.6029270671976588
1000;0.685822;0.954337;0;0.0328155;0.0456635;0;0;9.05752;1;0;0;0;0;0;9.77615;NA;./competition_output_1002;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.526316;1;0;1e-4;1;1e-7;0;0.045663495155763505;0;0;0.92649151250748
109098;0.047478;0.0576316;0;0.776341;0.942368;0;0;8.93345e-4;1;0;0;0;0;0;0.824712;NA;./competition_output_1002;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.526316;1;0;1e-4;1;1e-7;0;0.9423684085946064;0;0;0.0010832205666947978
0;29.8801;0.963846;0;0;0;1.1208;0.0361538;29.8789;0.963858;0;0;0;1.12039;0.0361425;62.0002;NA;./competition_output_1003;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.526316;1;0;1e-4;1;1e-7;0;0;0.03614244068170593;0.03615378908354274;0.4999869355260145
10;26.4374;0.930098;0;0;0;1.9869;0.0699016;27.0914;0.921277;0;0;0;2.31497;0.0787234;57.8307;NA;./competition_output_1003;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.526316;1;0;1e-4;1;1e-7;0;0;0.07872341944959546;0.069901457555683;0.5084906459717762
50;8.6778;0.536875;0;0;0;7.48575;0.463125;9.62489;0.4729;0;0;0;10.728;0.5271;36.5164;NA;./competition_output_1003;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.526316;1;0;1e-4;1;1e-7;0;0;0.5270995912619779;0.4631253654054957;0.5573629930661292
100;1.21342;0.180326;0;0;0;5.51561;0.819674;1.42783;0.123169;0;0;0;10.1646;0.876831;18.3215;NA;./competition_output_1003;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.526316;1;0;1e-4;1;1e-7;0;0;0.8768308283940468;0.8196738608685056;0.6327227574161505
1000;0.00802039;0.0271429;0;0;0;0.287468;0.972857;0.0406802;0.0238424;0;0;0;1.66553;0.976158;2.0017;NA;./competition_output_1003;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.526316;1;0;1e-4;1;1e-7;0;0;0.9761575683933903;0.9728571738469995;0.8523805765099665
176540;0.0473592;0.0530691;0;0;0;0.845048;0.946931;1.32748e-4;0.054124;0;0;0;0.00231991;0.945876;0.89486;NA;./competition_output_1003;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.526316;1;0;1e-4;1;1e-7;0;0;0.9458758620239757;0.9469309525965276;0.0027408287329861655
0;29.8202;0.93184;0;1.0604;0.0331361;1.1208;0.0350235;29.8789;0.963858;0;0;0;1.12039;0.0361425;63.0007;NA;./competition_output_1004;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.526316;1;0;1e-4;1;1e-7;0;0.033136050297799466;0.03614244068170593;0.0350234677232871;0.49204675503605516
10;25.7573;0.888227;0;1.29133;0.0445307;1.94994;0.0672424;27.0877;0.921747;0;0;0;2.29965;0.078253;58.386;NA;./competition_output_1004;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.526316;1;0;1e-4;1;1e-7;0;0.04453081651957321;0.07825305786333235;0.06724262610190779;0.5033287089370739
50;7.8273;0.490988;0;1.57049;0.0985134;6.54413;0.410498;10.1094;0.493343;0;0;0;10.3822;0.506657;36.4335;NA;./competition_output_1004;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.526316;1;0;1e-4;1;1e-7;0;0.09851322801770426;0.5066563860313494;0.4104982335879242;0.5624384151948069
100;1.08473;0.16019;0;1.0193;0.150528;4.66749;0.689282;1.69286;0.143242;0;0;0;10.1253;0.856758;18.5897;NA;./competition_output_1004;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.526316;1;0;1e-4;1;1e-7;0;0.1505275034261141;0.8567577355527426;0.6892824653844336;0.6357369941419172
